,object,id,created_time,last_edited_time,created_by,last_edited_by,cover,icon,parent,archived,properties,url,public_url
0,page,461450a5-3d9f-4a1d-83c4-bb53b4a99942,2023-09-18T22:41:00.000Z,2023-11-05T03:59:00.000Z,"{'object': 'user', 'id': '147bdf86-4261-4d70-ba95-2923623aa778'}","{'object': 'user', 'id': '147bdf86-4261-4d70-ba95-2923623aa778'}",,,"{'type': 'database_id', 'database_id': '48e5e114-527c-41f5-83ee-0903718fffb7'}",False,"{'Date': {'id': 'fapu', 'type': 'date', 'date': {'start': '2023-11-03', 'end': None, 'time_zone': None}}, 'Tags': {'id': 'iYAy', 'type': 'multi_select', 'multi_select': []}, 'Name': {'id': 'title', 'type': 'title', 'title': [{'type': 'text', 'text': {'content': 'Talk by Dr. Taras Kucherenko from EA', 'link': None}, 'annotations': {'bold': False, 'italic': False, 'strikethrough': False, 'underline': False, 'code': False, 'color': 'default'}, 'plain_text': 'Talk by Dr. Taras Kucherenko from EA', 'href': None}]}}",https://www.notion.so/Talk-by-Dr-Taras-Kucherenko-from-EA-461450a53d9f4a1d83c4bb53b4a99942,https://yanxg.notion.site/Talk-by-Dr-Taras-Kucherenko-from-EA-461450a53d9f4a1d83c4bb53b4a99942
1,page,8c4b001e-7b24-4f12-9d66-f8e31395bf31,2023-11-05T03:46:00.000Z,2023-11-05T03:55:00.000Z,"{'object': 'user', 'id': '147bdf86-4261-4d70-ba95-2923623aa778'}","{'object': 'user', 'id': '147bdf86-4261-4d70-ba95-2923623aa778'}",,,"{'type': 'database_id', 'database_id': '48e5e114-527c-41f5-83ee-0903718fffb7'}",False,"{'Date': {'id': 'fapu', 'type': 'date', 'date': {'start': '2023-10-27', 'end': None, 'time_zone': None}}, 'Tags': {'id': 'iYAy', 'type': 'multi_select', 'multi_select': [{'id': 'f81365ea-abf7-43d5-8e69-ec4a1d401545', 'name': 'seminar', 'color': 'pink'}]}, 'Name': {'id': 'title', 'type': 'title', 'title': [{'type': 'text', 'text': {'content': 'Talk by Prof. Tat-Jun Chin from University of Adelaide', 'link': None}, 'annotations': {'bold': False, 'italic': False, 'strikethrough': False, 'underline': False, 'code': False, 'color': 'default'}, 'plain_text': 'Talk by Prof. Tat-Jun Chin from University of Adelaide', 'href': None}]}}",https://www.notion.so/Talk-by-Prof-Tat-Jun-Chin-from-University-of-Adelaide-8c4b001e7b244f129d66f8e31395bf31,https://yanxg.notion.site/Talk-by-Prof-Tat-Jun-Chin-from-University-of-Adelaide-8c4b001e7b244f129d66f8e31395bf31
2,page,ac97a349-867c-43c7-b844-d561156c9eb8,2023-11-05T03:46:00.000Z,2023-11-05T03:49:00.000Z,"{'object': 'user', 'id': '147bdf86-4261-4d70-ba95-2923623aa778'}","{'object': 'user', 'id': '147bdf86-4261-4d70-ba95-2923623aa778'}",,,"{'type': 'database_id', 'database_id': '48e5e114-527c-41f5-83ee-0903718fffb7'}",False,"{'Date': {'id': 'fapu', 'type': 'date', 'date': {'start': '2023-10-18', 'end': None, 'time_zone': None}}, 'Tags': {'id': 'iYAy', 'type': 'multi_select', 'multi_select': [{'id': 'f81365ea-abf7-43d5-8e69-ec4a1d401545', 'name': 'seminar', 'color': 'pink'}]}, 'Name': {'id': 'title', 'type': 'title', 'title': [{'type': 'text', 'text': {'content': 'Talk by Prof. Leonid Sigal from UBC', 'link': None}, 'annotations': {'bold': False, 'italic': False, 'strikethrough': False, 'underline': False, 'code': False, 'color': 'default'}, 'plain_text': 'Talk by Prof. Leonid Sigal from UBC', 'href': None}]}}",https://www.notion.so/Talk-by-Prof-Leonid-Sigal-from-UBC-ac97a349867c43c7b844d561156c9eb8,https://yanxg.notion.site/Talk-by-Prof-Leonid-Sigal-from-UBC-ac97a349867c43c7b844d561156c9eb8
3,page,b04a68fb-6a83-4236-9126-ef22f5942b18,2023-11-05T03:46:00.000Z,2023-11-05T03:50:00.000Z,"{'object': 'user', 'id': '147bdf86-4261-4d70-ba95-2923623aa778'}","{'object': 'user', 'id': '147bdf86-4261-4d70-ba95-2923623aa778'}",,,"{'type': 'database_id', 'database_id': '48e5e114-527c-41f5-83ee-0903718fffb7'}",False,"{'Date': {'id': 'fapu', 'type': 'date', 'date': {'start': '2023-10-13', 'end': None, 'time_zone': None}}, 'Tags': {'id': 'iYAy', 'type': 'multi_select', 'multi_select': [{'id': 'f81365ea-abf7-43d5-8e69-ec4a1d401545', 'name': 'seminar', 'color': 'pink'}]}, 'Name': {'id': 'title', 'type': 'title', 'title': [{'type': 'text', 'text': {'content': 'Talk by Prof. Li Cheng from University of Alberta', 'link': None}, 'annotations': {'bold': False, 'italic': False, 'strikethrough': False, 'underline': False, 'code': False, 'color': 'default'}, 'plain_text': 'Talk by Prof. Li Cheng from University of Alberta', 'href': None}]}}",https://www.notion.so/Talk-by-Prof-Li-Cheng-from-University-of-Alberta-b04a68fb6a8342369126ef22f5942b18,https://yanxg.notion.site/Talk-by-Prof-Li-Cheng-from-University-of-Alberta-b04a68fb6a8342369126ef22f5942b18
4,page,0e01aac1-1170-49c2-b690-ef2f060de0a5,2023-09-18T22:42:00.000Z,2023-09-25T23:56:00.000Z,"{'object': 'user', 'id': '147bdf86-4261-4d70-ba95-2923623aa778'}","{'object': 'user', 'id': '147bdf86-4261-4d70-ba95-2923623aa778'}",,,"{'type': 'database_id', 'database_id': '48e5e114-527c-41f5-83ee-0903718fffb7'}",False,"{'Date': {'id': 'fapu', 'type': 'date', 'date': {'start': '2023-09-18', 'end': None, 'time_zone': None}}, 'Tags': {'id': 'iYAy', 'type': 'multi_select', 'multi_select': []}, 'Name': {'id': 'title', 'type': 'title', 'title': [{'type': 'text', 'text': {'content': 'ICCV 2023: Spotlight on GruVI Lab', 'link': None}, 'annotations': {'bold': False, 'italic': False, 'strikethrough': False, 'underline': False, 'code': False, 'color': 'default'}, 'plain_text': 'ICCV 2023: Spotlight on GruVI Lab', 'href': None}]}}",https://www.notion.so/ICCV-2023-Spotlight-on-GruVI-Lab-0e01aac1117049c2b690ef2f060de0a5,https://yanxg.notion.site/ICCV-2023-Spotlight-on-GruVI-Lab-0e01aac1117049c2b690ef2f060de0a5
5,page,589b1e05-d4eb-44cd-9e5c-dac29bf67157,2023-09-18T22:56:00.000Z,2023-09-18T22:59:00.000Z,"{'object': 'user', 'id': '147bdf86-4261-4d70-ba95-2923623aa778'}","{'object': 'user', 'id': '147bdf86-4261-4d70-ba95-2923623aa778'}",,,"{'type': 'database_id', 'database_id': '48e5e114-527c-41f5-83ee-0903718fffb7'}",False,"{'Date': {'id': 'fapu', 'type': 'date', 'date': {'start': '2023-06-26', 'end': None, 'time_zone': None}}, 'Tags': {'id': 'iYAy', 'type': 'multi_select', 'multi_select': []}, 'Name': {'id': 'title', 'type': 'title', 'title': [{'type': 'text', 'text': {'content': 'Talk by Mikaela Uy from Stanford ', 'link': None}, 'annotations': {'bold': False, 'italic': False, 'strikethrough': False, 'underline': False, 'code': False, 'color': 'default'}, 'plain_text': 'Talk by Mikaela Uy from Stanford ', 'href': None}]}}",https://www.notion.so/Talk-by-Mikaela-Uy-from-Stanford-589b1e05d4eb44cd9e5cdac29bf67157,https://yanxg.notion.site/Talk-by-Mikaela-Uy-from-Stanford-589b1e05d4eb44cd9e5cdac29bf67157
6,page,33353ea9-032c-467c-b93f-7ab619c815a0,2023-06-15T03:51:00.000Z,2023-06-18T23:19:00.000Z,"{'object': 'user', 'id': '147bdf86-4261-4d70-ba95-2923623aa778'}","{'object': 'user', 'id': '147bdf86-4261-4d70-ba95-2923623aa778'}",,,"{'type': 'database_id', 'database_id': '48e5e114-527c-41f5-83ee-0903718fffb7'}",False,"{'Date': {'id': 'fapu', 'type': 'date', 'date': {'start': '2023-06-14', 'end': None, 'time_zone': None}}, 'Tags': {'id': 'iYAy', 'type': 'multi_select', 'multi_select': []}, 'Name': {'id': 'title', 'type': 'title', 'title': [{'type': 'text', 'text': {'content': 'GrUVi making waves at CVPR 2023', 'link': None}, 'annotations': {'bold': False, 'italic': False, 'strikethrough': False, 'underline': False, 'code': False, 'color': 'default'}, 'plain_text': 'GrUVi making waves at CVPR 2023', 'href': None}]}}",https://www.notion.so/GrUVi-making-waves-at-CVPR-2023-33353ea9032c467cb93f7ab619c815a0,https://yanxg.notion.site/GrUVi-making-waves-at-CVPR-2023-33353ea9032c467cb93f7ab619c815a0
7,page,4e5ac5fc-ea0d-4778-9ace-a0710200a598,2023-06-15T03:38:00.000Z,2023-11-05T04:38:00.000Z,"{'object': 'user', 'id': '147bdf86-4261-4d70-ba95-2923623aa778'}","{'object': 'user', 'id': '147bdf86-4261-4d70-ba95-2923623aa778'}",,,"{'type': 'database_id', 'database_id': '48e5e114-527c-41f5-83ee-0903718fffb7'}",False,"{'Date': {'id': 'fapu', 'type': 'date', 'date': {'start': '2023-06-09', 'end': None, 'time_zone': None}}, 'Tags': {'id': 'iYAy', 'type': 'multi_select', 'multi_select': [{'id': 'f81365ea-abf7-43d5-8e69-ec4a1d401545', 'name': 'seminar', 'color': 'pink'}]}, 'Name': {'id': 'title', 'type': 'title', 'title': [{'type': 'text', 'text': {'content': 'Talk by Prof. Emily Whiting from Boston University', 'link': None}, 'annotations': {'bold': False, 'italic': False, 'strikethrough': False, 'underline': False, 'code': False, 'color': 'default'}, 'plain_text': 'Talk by Prof. Emily Whiting from Boston University', 'href': None}]}}",https://www.notion.so/Talk-by-Prof-Emily-Whiting-from-Boston-University-4e5ac5fcea0d47789acea0710200a598,https://yanxg.notion.site/Talk-by-Prof-Emily-Whiting-from-Boston-University-4e5ac5fcea0d47789acea0710200a598
8,page,7a2b92ef-025a-4971-a69b-fcdb3a296777,2023-06-15T03:40:00.000Z,2023-06-15T03:43:00.000Z,"{'object': 'user', 'id': '147bdf86-4261-4d70-ba95-2923623aa778'}","{'object': 'user', 'id': '147bdf86-4261-4d70-ba95-2923623aa778'}",,,"{'type': 'database_id', 'database_id': '48e5e114-527c-41f5-83ee-0903718fffb7'}",False,"{'Date': {'id': 'fapu', 'type': 'date', 'date': {'start': '2023-06-02', 'end': None, 'time_zone': None}}, 'Tags': {'id': 'iYAy', 'type': 'multi_select', 'multi_select': []}, 'Name': {'id': 'title', 'type': 'title', 'title': [{'type': 'text', 'text': {'content': 'Talk by Silvia Sellan from the University of Toronto', 'link': None}, 'annotations': {'bold': False, 'italic': False, 'strikethrough': False, 'underline': False, 'code': False, 'color': 'default'}, 'plain_text': 'Talk by Silvia Sellan from the University of Toronto', 'href': None}]}}",https://www.notion.so/Talk-by-Silvia-Sellan-from-the-University-of-Toronto-7a2b92ef025a4971a69bfcdb3a296777,https://yanxg.notion.site/Talk-by-Silvia-Sellan-from-the-University-of-Toronto-7a2b92ef025a4971a69bfcdb3a296777
9,page,2832942c-5581-4134-868d-ba12a3be0bf3,2023-06-15T03:45:00.000Z,2023-06-15T03:47:00.000Z,"{'object': 'user', 'id': '147bdf86-4261-4d70-ba95-2923623aa778'}","{'object': 'user', 'id': '147bdf86-4261-4d70-ba95-2923623aa778'}",,,"{'type': 'database_id', 'database_id': '48e5e114-527c-41f5-83ee-0903718fffb7'}",False,"{'Date': {'id': 'fapu', 'type': 'date', 'date': {'start': '2023-05-26', 'end': None, 'time_zone': None}}, 'Tags': {'id': 'iYAy', 'type': 'multi_select', 'multi_select': []}, 'Name': {'id': 'title', 'type': 'title', 'title': [{'type': 'text', 'text': {'content': 'Talk by Prof. Daniel Weiskopf from the University of Stuttgart', 'link': None}, 'annotations': {'bold': False, 'italic': False, 'strikethrough': False, 'underline': False, 'code': False, 'color': 'default'}, 'plain_text': 'Talk by Prof. Daniel Weiskopf from the University of Stuttgart', 'href': None}]}}",https://www.notion.so/Talk-by-Prof-Daniel-Weiskopf-from-the-University-of-Stuttgart-2832942c55814134868dba12a3be0bf3,https://yanxg.notion.site/Talk-by-Prof-Daniel-Weiskopf-from-the-University-of-Stuttgart-2832942c55814134868dba12a3be0bf3
10,page,ee899abf-e333-4553-9f8c-522967817773,2023-05-21T23:40:00.000Z,2023-05-21T23:49:00.000Z,"{'object': 'user', 'id': '147bdf86-4261-4d70-ba95-2923623aa778'}","{'object': 'user', 'id': '147bdf86-4261-4d70-ba95-2923623aa778'}",,,"{'type': 'database_id', 'database_id': '48e5e114-527c-41f5-83ee-0903718fffb7'}",False,"{'Date': {'id': 'fapu', 'type': 'date', 'date': {'start': '2023-05-18', 'end': None, 'time_zone': None}}, 'Tags': {'id': 'iYAy', 'type': 'multi_select', 'multi_select': []}, 'Name': {'id': 'title', 'type': 'title', 'title': [{'type': 'text', 'text': {'content': 'Prof. Pat Hanrahan gave his ', 'link': None}, 'annotations': {'bold': False, 'italic': False, 'strikethrough': False, 'underline': False, 'code': False, 'color': 'default'}, 'plain_text': 'Prof. Pat Hanrahan gave his ', 'href': None}, {'type': 'text', 'text': {'content': 'Turing Award Lecture at SFU CS', 'link': None}, 'annotations': {'bold': True, 'italic': False, 'strikethrough': False, 'underline': False, 'code': False, 'color': 'default'}, 'plain_text': 'Turing Award Lecture at SFU CS', 'href': None}]}}",https://www.notion.so/Prof-Pat-Hanrahan-gave-his-Turing-Award-Lecture-at-SFU-CS-ee899abfe33345539f8c522967817773,https://yanxg.notion.site/Prof-Pat-Hanrahan-gave-his-Turing-Award-Lecture-at-SFU-CS-ee899abfe33345539f8c522967817773
11,page,7ff0c412-b102-494e-af20-4ad103af1cb7,2023-05-21T05:50:00.000Z,2023-05-21T06:02:00.000Z,"{'object': 'user', 'id': '147bdf86-4261-4d70-ba95-2923623aa778'}","{'object': 'user', 'id': '147bdf86-4261-4d70-ba95-2923623aa778'}",,,"{'type': 'database_id', 'database_id': '48e5e114-527c-41f5-83ee-0903718fffb7'}",False,"{'Date': {'id': 'fapu', 'type': 'date', 'date': {'start': '2023-05-15', 'end': None, 'time_zone': None}}, 'Tags': {'id': 'iYAy', 'type': 'multi_select', 'multi_select': []}, 'Name': {'id': 'title', 'type': 'title', 'title': [{'type': 'text', 'text': {'content': 'Prof. Tagliasacchi Co-Chairs 3DV 2024: Papers Invitation Open', 'link': None}, 'annotations': {'bold': False, 'italic': False, 'strikethrough': False, 'underline': False, 'code': False, 'color': 'default'}, 'plain_text': 'Prof. Tagliasacchi Co-Chairs 3DV 2024: Papers Invitation Open', 'href': None}]}}",https://www.notion.so/Prof-Tagliasacchi-Co-Chairs-3DV-2024-Papers-Invitation-Open-7ff0c412b102494eaf204ad103af1cb7,https://yanxg.notion.site/Prof-Tagliasacchi-Co-Chairs-3DV-2024-Papers-Invitation-Open-7ff0c412b102494eaf204ad103af1cb7
12,page,e1026505-1a2f-4b84-9c59-8d488868757a,2023-05-13T23:46:00.000Z,2023-05-13T23:47:00.000Z,"{'object': 'user', 'id': '147bdf86-4261-4d70-ba95-2923623aa778'}","{'object': 'user', 'id': '147bdf86-4261-4d70-ba95-2923623aa778'}",,,"{'type': 'database_id', 'database_id': '48e5e114-527c-41f5-83ee-0903718fffb7'}",False,"{'Date': {'id': 'fapu', 'type': 'date', 'date': {'start': '2023-04-18', 'end': None, 'time_zone': None}}, 'Tags': {'id': 'iYAy', 'type': 'multi_select', 'multi_select': []}, 'Name': {'id': 'title', 'type': 'title', 'title': [{'type': 'text', 'text': {'content': 'Talk by ', 'link': None}, 'annotations': {'bold': False, 'italic': False, 'strikethrough': False, 'underline': False, 'code': False, 'color': 'default'}, 'plain_text': 'Talk by ', 'href': None}, {'type': 'text', 'text': {'content': 'Karsten Kreis', 'link': {'url': 'https://karstenkreis.github.io/'}}, 'annotations': {'bold': False, 'italic': False, 'strikethrough': False, 'underline': False, 'code': False, 'color': 'default'}, 'plain_text': 'Karsten Kreis', 'href': 'https://karstenkreis.github.io/'}, {'type': 'text', 'text': {'content': '\xa0from NVIDIA', 'link': None}, 'annotations': {'bold': False, 'italic': False, 'strikethrough': False, 'underline': False, 'code': False, 'color': 'default'}, 'plain_text': '\xa0from NVIDIA', 'href': None}]}}",https://www.notion.so/Talk-by-Karsten-Kreis-from-NVIDIA-e10265051a2f4b849c598d488868757a,https://yanxg.notion.site/Talk-by-Karsten-Kreis-from-NVIDIA-e10265051a2f4b849c598d488868757a
13,page,6fc253a2-95a9-43d7-a8f8-d958fd6d9c02,2023-05-13T23:18:00.000Z,2023-05-18T12:03:00.000Z,"{'object': 'user', 'id': '147bdf86-4261-4d70-ba95-2923623aa778'}","{'object': 'user', 'id': '33afb694-d4ea-4523-b754-d7e8e89793d3'}",,,"{'type': 'database_id', 'database_id': '48e5e114-527c-41f5-83ee-0903718fffb7'}",False,"{'Date': {'id': 'fapu', 'type': 'date', 'date': {'start': '2023-04-01', 'end': None, 'time_zone': None}}, 'Tags': {'id': 'iYAy', 'type': 'multi_select', 'multi_select': []}, 'Name': {'id': 'title', 'type': 'title', 'title': [{'type': 'text', 'text': {'content': 'Visual and Interactive Computing Institute (VINCI) is Founded', 'link': None}, 'annotations': {'bold': False, 'italic': False, 'strikethrough': False, 'underline': False, 'code': False, 'color': 'default'}, 'plain_text': 'Visual and Interactive Computing Institute (VINCI) is Founded', 'href': None}]}}",https://www.notion.so/Visual-and-Interactive-Computing-Institute-VINCI-is-Founded-6fc253a295a943d7a8f8d958fd6d9c02,https://yanxg.notion.site/Visual-and-Interactive-Computing-Institute-VINCI-is-Founded-6fc253a295a943d7a8f8d958fd6d9c02
14,page,bf588095-eac7-42b3-8324-4dcf18092fbf,2023-05-13T23:18:00.000Z,2023-05-22T00:01:00.000Z,"{'object': 'user', 'id': '147bdf86-4261-4d70-ba95-2923623aa778'}","{'object': 'user', 'id': '147bdf86-4261-4d70-ba95-2923623aa778'}",,,"{'type': 'database_id', 'database_id': '48e5e114-527c-41f5-83ee-0903718fffb7'}",False,"{'Date': {'id': 'fapu', 'type': 'date', 'date': {'start': '2023-03-08', 'end': None, 'time_zone': None}}, 'Tags': {'id': 'iYAy', 'type': 'multi_select', 'multi_select': []}, 'Name': {'id': 'title', 'type': 'title', 'title': [{'type': 'text', 'text': {'content': 'Prof. Furukawa Appointed as Program Chair for ICCV 2023', 'link': None}, 'annotations': {'bold': False, 'italic': False, 'strikethrough': False, 'underline': False, 'code': False, 'color': 'default'}, 'plain_text': 'Prof. Furukawa Appointed as Program Chair for ICCV 2023', 'href': None}]}}",https://www.notion.so/Prof-Furukawa-Appointed-as-Program-Chair-for-ICCV-2023-bf588095eac742b383244dcf18092fbf,https://yanxg.notion.site/Prof-Furukawa-Appointed-as-Program-Chair-for-ICCV-2023-bf588095eac742b383244dcf18092fbf
15,page,aa06b6ed-6345-4cdf-a34d-e8c47b953c86,2023-05-13T23:18:00.000Z,2023-05-14T00:28:00.000Z,"{'object': 'user', 'id': '147bdf86-4261-4d70-ba95-2923623aa778'}","{'object': 'user', 'id': '147bdf86-4261-4d70-ba95-2923623aa778'}",,,"{'type': 'database_id', 'database_id': '48e5e114-527c-41f5-83ee-0903718fffb7'}",False,"{'Date': {'id': 'fapu', 'type': 'date', 'date': {'start': '2023-02-27', 'end': None, 'time_zone': None}}, 'Tags': {'id': 'iYAy', 'type': 'multi_select', 'multi_select': []}, 'Name': {'id': 'title', 'type': 'title', 'title': [{'type': 'text', 'text': {'content': 'Gruviers have 10 Accepted Papers at CVPR 2023', 'link': None}, 'annotations': {'bold': False, 'italic': False, 'strikethrough': False, 'underline': False, 'code': False, 'color': 'default'}, 'plain_text': 'Gruviers have 10 Accepted Papers at CVPR 2023', 'href': None}]}}",https://www.notion.so/Gruviers-have-10-Accepted-Papers-at-CVPR-2023-aa06b6ed63454cdfa34de8c47b953c86,https://yanxg.notion.site/Gruviers-have-10-Accepted-Papers-at-CVPR-2023-aa06b6ed63454cdfa34de8c47b953c86
16,page,38ead37c-c824-4a4e-8a9d-6069ab0c2795,2023-09-18T22:37:00.000Z,2023-09-18T22:41:00.000Z,"{'object': 'user', 'id': '147bdf86-4261-4d70-ba95-2923623aa778'}","{'object': 'user', 'id': '147bdf86-4261-4d70-ba95-2923623aa778'}",,,"{'type': 'database_id', 'database_id': '48e5e114-527c-41f5-83ee-0903718fffb7'}",False,"{'Date': {'id': 'fapu', 'type': 'date', 'date': None}, 'Tags': {'id': 'iYAy', 'type': 'multi_select', 'multi_select': []}, 'Name': {'id': 'title', 'type': 'title', 'title': [{'type': 'text', 'text': {'content': 'GrUViers at ICCV 2023', 'link': None}, 'annotations': {'bold': False, 'italic': False, 'strikethrough': False, 'underline': False, 'code': False, 'color': 'default'}, 'plain_text': 'GrUViers at ICCV 2023', 'href': None}]}}",https://www.notion.so/GrUViers-at-ICCV-2023-38ead37cc8244a4e8a9d6069ab0c2795,https://yanxg.notion.site/GrUViers-at-ICCV-2023-38ead37cc8244a4e8a9d6069ab0c2795
